--------------
select occupation,count(*),zipcode from Residents where zipcode = '02108' group by occupation ORDER BY 2 desc
--------------

occupation	count(*)	zipcode
UNKNOWN	1738	02108
STUDENT	528	02108
RETIRED	252	02108
ATTORNEY	96	02108
CONSULTANT	73	02108
FINANCE	61	02108
PHYSICIAN	59	02108
AT HOME	44	02108
MANAGEMENT	39	02108
MANAGER	36	02108
ANALYST	30	02108
	29	02108
TEACHER	26	02108
ENGINEER	26	02108
EXECUTIVE	26	02108
LAWYER	25	02108
ARCHITECT	24	02108
HOMEMAKER	23	02108
REAL ESTATE	22	02108
SALES	22	02108
SELF EMPLOYED	20	02108
ADMIN ASSIST	19	02108
PROFESSOR	19	02108
DIRECTOR	17	02108
ACCOUNTANT	17	02108
INVESTOR	17	02108
NURSE	16	02108
ARTIST	15	02108
WRITER	15	02108
SCIENTIST	15	02108
MARKETING	14	02108
INVESTMENTS	14	02108
DOCTOR	13	02108
DESIGNER	12	02108
REALTOR	12	02108
BANKER	11	02108
CEO	11	02108
BUSINESS	11	02108
HOUSEWIFE	9	02108
RESEARCHER	9	02108
ACCOUNTING	9	02108
RETAIL	8	02108
PRIEST	8	02108
PSYCHOLOGIST	7	02108
INTERIOR DESIGN	7	02108
CLERK	7	02108
JOURNALIST	6	02108
BROKER	6	02108
FUNDRAISER	6	02108
HEALTHCARE	6	02108
DENTIST	6	02108
SURGEON	5	02108
FINANCIAL	5	02108
FOOD SERVICE	5	02108
DEVELOPER	5	02108
NON-PROFIT	5	02108
EDITOR	5	02108
SOCIAL WORKER	4	02108
COORDINATOR	4	02108
INSURANCE	4	02108
CONSULTING	4	02108
BUSINESSMAN	4	02108
RESEARCH	4	02108
PROGRAMMER	4	02108
MINISTER	4	02108
UNEMPLOYED	4	02108
EDUCATION	4	02108
ECONOMIST	4	02108
VOLUNTEER	3	02108
BIOTECH	3	02108
TECHNICIAN	3	02108
MED STUDENT	3	02108
CPA	3	02108
OPTOMETRIST	3	02108
PHYSICIST	3	02108
ENTREPRENEUR	3	02108
DATA ANALYST	3	02108
CFO	3	02108
ADVERTISING	3	02108
ACCOUNT MGR	3	02108
EXEC ASST	3	02108
PUBLIC RELATION	3	02108
CLERGY	3	02108
PARALEGAL	3	02108
BUSINESS EXEC	3	02108
WEB DEVELOPER	3	02108
EDUCATOR	3	02108
SOFTWARE	3	02108
LABORER	3	02108
LEGAL	3	02108
FINANCIAL ADVIS	2	02108
SOFTWARE ENGINE	2	02108
BRAND MANAGER	2	02108
PHOTOGRAPHER	2	02108
FACULTY	2	02108
BUSINESS OWNER	2	02108
TV PRODUCER	2	02108
RESEARCH FELLOW	2	02108
TECH CONSULTANT	2	02108
HEALTH CARE	2	02108
COACH	2	02108
TRADER	2	02108
BIOTECH/PHARMA	2	02108
VENTURE CAPITAL	2	02108
CHILDCARE	2	02108
MUSICIAN	2	02108
EMPLOYED	2	02108
CHEF	2	02108
FNCL ANALYST	2	02108
EXECUTIVE ASST	2	02108
FELLOW	2	02108
BEAUTY IND	2	02108
REG NURSE	2	02108
PROJECT MANAGER	2	02108
ADMINISTRATOR	2	02108
CARPENTER	2	02108
INT DESIGNER	2	02108
R N	2	02108
GOVERNMENT	2	02108
ASSISTANT	2	02108
BANKING	2	02108
BARISTA	2	02108
MGT CONSULTANT	2	02108
SALES ASSOCIATE	2	02108
SALES MANAGER	2	02108
EVENT PLANNER	2	02108
AUTHOR	2	02108
MEDICAL	2	02108
BUILDER	2	02108
ACTUARY	2	02108
REINSURANCE DRT	1	02108
DESIGN	1	02108
REGISTERED REP	1	02108
